Device,Algorithm,Recall,TNR
Disp. 1,Isolation Forest,0.9512195121951219,0.10357925944226552
Disp. 2,Isolation Forest,0.9497500320471735,0.28870318224483
Disp. 3,Isolation Forest,0.9480254471251951,0.13897095027080256
Disp. 4,Isolation Forest,0.9580427845408345,0.16613112525489712
Disp. 5,Isolation Forest,0.9489022981127231,0.4698689427646115
