model_name,accuracy,recall,f-score
random_forest,0.9922310756972111,0.99224897880504,0.9922328922879556
mlp,0.4881806108897742,0.486518266152497,0.43798112125083133
naive_bayes,0.5122841965471447,0.5119844592790102,0.5071736094888677
knn,0.8312084993359894,0.8313330353922064,0.8311640078780765
decision_tree,0.9592297476759628,0.9592015389374785,0.9591860340376552
svm_linear,0.4450863213811421,0.4446489486062945,0.42668863876022217
final_model,0.991280157477753,0.9912675837601531,0.9912934103457269
