model_name,accuracy,recall,f-score
random_forest,0.9954012263396428,0.9953730907985336,0.9953768801404645
mlp,0.5633830978405758,0.5605243078881454,0.5455140439989636
naive_bayes,0.5953745667821914,0.59201956636035,0.5823271759829887
knn,0.8817648627032791,0.8809417323103433,0.8808170605647858
decision_tree,0.9757398027192749,0.9755440289770778,0.9755409893837456
svm_linear,0.3711010397227406,0.3712040488817366,0.32388187096516147
final_model,0.9937786776832515,0.9938954092532153,0.9938491856703779
