time;TSrock;TSrasp;offset;device
0;119238112740613;104693194839380;-14544917901233;192.168.1.175
1001247513;119239113988126;104694195278874;-14544918709252;192.168.1.175
2001538654;119240114279267;104695195554790;-14544918724477;192.168.1.175
3001815503;119241114556116;104696195839292;-14544918716824;192.168.1.175
4002094394;119242114835007;104697196096567;-14544918738440;192.168.1.175
5002349660;119243115090273;104698196344318;-14544918745955;192.168.1.175
6002590342;119244115330955;104699196593435;-14544918737520;192.168.1.175
7002835983;119245115576596;104700196849620;-14544918726976;192.168.1.175
8003098832;119246115839445;104701197108501;-14544918730944;192.168.1.175
9003354098;119247116094711;104702197355174;-14544918739537;192.168.1.175
10003597697;119248116338310;104703197599138;-14544918739172;192.168.1.175
11003837797;119249116578410;104704197847596;-14544918730814;192.168.1.175
12004085771;119250116826384;104705198097587;-14544918728797;192.168.1.175
13004330537;119251117071150;104706198343664;-14544918727486;192.168.1.175
14004575594;119252117316207;104707198591458;-14544918724749;192.168.1.175
15004817151;119253117557764;104708198833952;-14544918723812;192.168.1.175
16005060459;119254117801072;104709199077492;-14544918723580;192.168.1.175
17005307267;119255118047880;104710199330974;-14544918716906;192.168.1.175
18005551449;119256118292062;104711199577950;-14544918714112;192.168.1.175
19005795049;119257118535662;104712199824922;-14544918710740;192.168.1.175
20006041272;119258118781885;104713200076090;-14544918705795;192.168.1.175
21006292747;119259119033360;104714200326845;-14544918706515;192.168.1.175
22006536055;119260119276668;104715200570540;-14544918706128;192.168.1.175
23006776154;119261119516767;104716200834508;-14544918682259;192.168.1.175
24007076044;119262119816657;104717201117449;-14544918699208;192.168.1.175
25007353477;119263120094090;104718201395703;-14544918698387;192.168.1.175
26007626243;119264120366856;104719201669967;-14544918696889;192.168.1.175
27007891717;119265120632330;104720201938450;-14544918693880;192.168.1.175
28008165649;119266120906262;104721202217240;-14544918689022;192.168.1.175
29008403415;119267121144028;104722202463637;-14544918680391;192.168.1.175
30008701848;119268121442461;104723202753047;-14544918689414;192.168.1.175
31008971113;119269121711726;104724203029118;-14544918682608;192.168.1.175
32009216754;119270121957367;104725203284888;-14544918672479;192.168.1.175
33009500603;119271122241216;104726203559135;-14544918682081;192.168.1.175
34009740119;119272122480732;104727203807782;-14544918672950;192.168.1.175
35010029218;119273122769831;104728204090035;-14544918679796;192.168.1.175
36010269026;119274123009639;104729204339488;-14544918670151;192.168.1.175
37010556375;119275123296988;104730204625823;-14544918671165;192.168.1.175
38010819807;119276123560420;104731204891839;-14544918668581;192.168.1.175
39011056698;119277123797311;104732205148722;-14544918648589;192.168.1.175
40011375839;119278124116452;104733205453355;-14544918663097;192.168.1.175
41011620896;119279124361509;104734205709597;-14544918651912;192.168.1.175
42011905912;119280124646525;104735205984128;-14544918662397;192.168.1.175
43012145428;119281124886041;104736206243620;-14544918642421;192.168.1.175
44012440652;119282125181265;104737206528678;-14544918652587;192.168.1.175
45012711668;119283125452281;104738206804937;-14544918647344;192.168.1.175
46012959350;119284125699963;104739207056318;-14544918643645;192.168.1.175
47013250199;119285125990812;104740207343843;-14544918646969;192.168.1.175
48013532007;119286126272620;104741207626733;-14544918645887;192.168.1.175
49013795439;119287126536052;104742207893859;-14544918642193;192.168.1.175
50014056247;119288126796860;104743208155626;-14544918641234;192.168.1.175
51014326679;119289127067292;104744208428074;-14544918639218;192.168.1.175
52014567654;119290127308267;104745208683054;-14544918625213;192.168.1.175
53014836919;119291127577532;104746208950270;-14544918627262;192.168.1.175
54015113185;119292127853798;104747209226072;-14544918627726;192.168.1.175
55015362034;119293128102647;104748209483665;-14544918618982;192.168.1.175
56015722300;119294128462913;104749209835106;-14544918627807;192.168.1.175
57015980774;119295128721387;104750210096357;-14544918625030;192.168.1.175
58016244207;119296128984820;104751210366584;-14544918618236;192.168.1.175
59016489556;119297129230169;104752210619918;-14544918610251;192.168.1.175
60016773697;119298129514310;104753210896486;-14544918617824;192.168.1.175
61017040921;119299129781534;104754211161290;-14544918620244;192.168.1.175
62017277520;119300130018133;104755211406904;-14544918611229;192.168.1.175
63017557577;119301130298190;104756211688699;-14544918609491;192.168.1.175
64017825677;119302130566290;104757211955970;-14544918610320;192.168.1.175
65018059942;119303130800555;104758212199070;-14544918601485;192.168.1.175
66018348167;119304131088780;104759212483757;-14544918605023;192.168.1.175
