time;TSrock;TSrasp;offset;device
1167;119238118910805;104603604816177;-14634514094628;192.168.1.179
1001330638;119239120240276;104604605379211;-14634514861065;192.168.1.179
2001690028;119240120599666;104605605739182;-14634514860484;192.168.1.179
3002049711;119241120959349;104606606089322;-14634514870027;192.168.1.179
4002401810;119242121311448;104607606435043;-14634514876405;192.168.1.179
5002755075;119243121664713;104608606777528;-14634514887185;192.168.1.179
6003099007;119244122008645;104609607133220;-14634514875425;192.168.1.179
7003462773;119245122372411;104610607492270;-14634514880141;192.168.1.179
8003823330;119246122732968;104611607837194;-14634514895774;192.168.1.179
9004163762;119247123073400;104612608175050;-14634514898350;192.168.1.179
10004503611;119248123413249;104613608525282;-14634514887967;192.168.1.179
11004866794;119249123776432;104614608885074;-14634514891358;192.168.1.179
12005235809;119250124145447;104615609249740;-14634514895707;192.168.1.179
13005587616;119251124497254;104616609598578;-14634514898676;192.168.1.179
14005936215;119252124845853;104617609944050;-14634514901803;192.168.1.179
15006286855;119253125196493;104618610296656;-14634514899837;192.168.1.179
16006642163;119254125551801;104619610646544;-14634514905257;192.168.1.179
17006992512;119255125902150;104620610984197;-14634514917953;192.168.1.179
18007333528;119256126243166;104621611322002;-14634514921164;192.168.1.179
19007673377;119257126583015;104622611669500;-14634514913515;192.168.1.179
20008023725;119258126933363;104623612019758;-14634514913605;192.168.1.179
21008377283;119259127286921;104624612368262;-14634514918659;192.168.1.179
22008726173;119260127635811;104625612716476;-14634514919335;192.168.1.179
23009075356;119261127984994;104626613097340;-14634514887654;192.168.1.179
24009468871;119262128378509;104627613453507;-14634514925002;192.168.1.179
25009821262;119263128730900;104628613804995;-14634514925905;192.168.1.179
26010175694;119264129085332;104629614156744;-14634514928588;192.168.1.179
27010529251;119265129438889;104630614506758;-14634514932131;192.168.1.179
28010881058;119266129790696;104631614857130;-14634514933566;192.168.1.179
29011233157;119267130142795;104632615205841;-14634514936954;192.168.1.179
30011584965;119268130494603;104633615554666;-14634514939937;192.168.1.179
31011939105;119269130848743;104634615906977;-14634514941766;192.168.1.179
32012292954;119270131202592;104635616258367;-14634514944225;192.168.1.179
