time;TSrock;TSrasp;offset;device
292;119238112796030;104592709716803;-14645403079227;192.168.1.111
1001191222;119239113986960;104593710167425;-14645403819535;192.168.1.111
2001485862;119240114281600;104594710453699;-14645403827901;192.168.1.111
3001762711;119241114558449;104595710738195;-14645403820254;192.168.1.111
4002040727;119242114836465;104596710969192;-14645403867273;192.168.1.111
5002290160;119243115085898;104597711216541;-14645403869357;192.168.1.111
6002531717;119244115327455;104598711455816;-14645403871639;192.168.1.111
7002777358;119245115573096;104599711722256;-14645403850840;192.168.1.111
8003043416;119246115839154;104600711982067;-14645403857087;192.168.1.111
9003302182;119247116097920;104601712242527;-14645403855393;192.168.1.111
10003544322;119248116340060;104602712487006;-14645403853054;192.168.1.111
11003785588;119249116581326;104603712728113;-14645403853213;192.168.1.111
12004030937;119250116826675;104604712967815;-14645403858860;192.168.1.111
13004278912;119251117074650;104605713216793;-14645403857857;192.168.1.111
14004522219;119252117317957;104606713453642;-14645403864315;192.168.1.111
15004768151;119253117563889;104607713705860;-14645403858029;192.168.1.111
16005007376;119254117803114;104608713951468;-14645403851646;192.168.1.111
17005257100;119255118052838;104609714199205;-14645403853633;192.168.1.111
18005496908;119256118292646;104610714432813;-14645403859833;192.168.1.111
19005741382;119257118537120;104611714676921;-14645403860199;192.168.1.111
20005991106;119258118786844;104612714933251;-14645403853593;192.168.1.111
21006239372;119259119035110;104613715172767;-14645403862343;192.168.1.111
22006484138;119260119279876;104614715426429;-14645403853447;192.168.1.111
23006724237;119261119519975;104615715666149;-14645403853826;192.168.1.111
24006996711;119262119792449;104616715940960;-14645403851489;192.168.1.111
25007277060;119263120072798;104617716214734;-14645403858064;192.168.1.111
26007547493;119264120343231;104618716489341;-14645403853890;192.168.1.111
27007814425;119265120610163;104619716765114;-14645403845049;192.168.1.111
28008086316;119266120882054;104620717024444;-14645403857610;192.168.1.111
29008348582;119267121144320;104621717285273;-14645403859047;192.168.1.111
30008630389;119268121426127;104622717560067;-14645403866060;192.168.1.111
31008893822;119269121689560;104623717825433;-14645403864127;192.168.1.111
32009162504;119270121958242;104624718089373;-14645403868869;192.168.1.111
33009423895;119271122219633;104625718361869;-14645403857764;192.168.1.111
34009685578;119272122481316;104626718634809;-14645403846507;192.168.1.111
35009952510;119273122748248;104627718890991;-14645403857257;192.168.1.111
36010214484;119274123010222;104628719164914;-14645403845308;192.168.1.111
37010479666;119275123275404;104629719420040;-14645403855364;192.168.1.111
38010741933;119276123537671;104630719669296;-14645403868375;192.168.1.111
39011001573;119277123797311;104631719939458;-14645403857853;192.168.1.111
40011302047;119278124097785;104632720231787;-14645403865998;192.168.1.111
41011566355;119279124362093;104633720494635;-14645403867458;192.168.1.111
42011827745;119280124623483;104634720767168;-14645403856315;192.168.1.111
43012090886;119281124886624;104635721042386;-14645403844238;192.168.1.111
44012364527;119282125160265;104636721310493;-14645403849772;192.168.1.111
45012640210;119283125435948;104637721580674;-14645403855274;192.168.1.111
46012905100;119284125700838;104638721844392;-14645403856446;192.168.1.111
47013173783;119285125969521;104639722131924;-14645403837597;192.168.1.111
48013454424;119286126250162;104640722394680;-14645403855482;192.168.1.111
49013716981;119287126512719;104641722656009;-14645403856710;192.168.1.111
50013977205;119288126772943;104642722917246;-14645403855697;192.168.1.111
51014248804;119289127044542;104643723190075;-14645403854467;192.168.1.111
52014513112;119290127308850;104644723455663;-14645403853187;192.168.1.111
53014778294;119291127574032;104645723718122;-14645403855910;192.168.1.111
54015042601;119292127838339;104646723983099;-14645403855240;192.168.1.111
55015307492;119293128103230;104647724247743;-14645403855487;192.168.1.111
56015640341;119294128436079;104648724573682;-14645403862397;192.168.1.111
57015911358;119295128707096;104649724841586;-14645403865510;192.168.1.111
58016173915;119296128969653;104650725104008;-14645403865645;192.168.1.111
59016434722;119297129230460;104651725366782;-14645403863678;192.168.1.111
60016697280;119298129493018;104652725638426;-14645403854592;192.168.1.111
61016963337;119299129759075;104653725894866;-14645403864209;192.168.1.111
62017222978;119300130018716;104654726173935;-14645403844781;192.168.1.111
63017486411;119301130282149;104655726427376;-14645403854773;192.168.1.111
64017745468;119302130541206;104656726675928;-14645403865278;192.168.1.111
65018005109;119303130800847;104657726949183;-14645403851664;192.168.1.111
66018271458;119304131067196;104658727202031;-14645403865165;192.168.1.111
67018529932;119305131325670;104659727471620;-14645403854050;192.168.1.111
68018792490;119306131588228;104660727734319;-14645403853909;192.168.1.111
69019060880;119307131856618;104661728002667;-14645403853951;192.168.1.111
70019323438;119308132119176;104662728268070;-14645403851106;192.168.1.111
71019592995;119309132388733;104663728524640;-14645403864093;192.168.1.111
72019852345;119310132648083;104664728806636;-14645403841447;192.168.1.111
73020121319;119311132917057;104665729062556;-14645403854501;192.168.1.111
74020381543;119312133177281;104666729334626;-14645403842655;192.168.1.111
75020648767;119313133444505;104667729590252;-14645403854253;192.168.1.111
76020909283;119314133705021;104668729852600;-14645403852421;192.168.1.111
77021170966;119315133966704;104669730112929;-14645403853775;192.168.1.111
78021433523;119316134229261;104670730369185;-14645403860076;192.168.1.111
79021699580;119317134495318;104671730656402;-14645403838916;192.168.1.111
80021975846;119318134771584;104672730955416;-14645403816168;192.168.1.111
81022338445;119319135134183;104673731276429;-14645403857754;192.168.1.111
82022598378;119320135394116;104674731547591;-14645403846525;192.168.1.111
83022869102;119321135664840;104675731802179;-14645403862661;192.168.1.111
84023129909;119322135925647;104676732063193;-14645403862454;192.168.1.111
85023386050;119323136181788;104677732332800;-14645403848988;192.168.1.111
86023651232;119324136446970;104678732595352;-14645403851618;192.168.1.111
87023919040;119325136714778;104679732856551;-14645403858227;192.168.1.111
88024184223;119326136979961;104680733132028;-14645403847933;192.168.1.111
89024442113;119327137237851;104681733378969;-14645403858882;192.168.1.111
90024697962;119328137493700;104682733645018;-14645403848682;192.168.1.111
91024963728;119329137759466;104683733906774;-14645403852692;192.168.1.111
92025260410;119330138056148;104684734198454;-14645403857694;192.168.1.111
93025532010;119331138327748;104685734469969;-14645403857779;192.168.1.111
94025798067;119332138593805;104686734745687;-14645403848118;192.168.1.111
95026065292;119333138861030;104687735004551;-14645403856479;192.168.1.111
96026332807;119334139128545;104688735267121;-14645403861424;192.168.1.111
97026594490;119335139390228;104689735533099;-14645403857129;192.168.1.111
98026860547;119336139656285;104690735798761;-14645403857524;192.168.1.111
99027123980;119337139919718;104691736060517;-14645403859201;192.168.1.111
100027393829;119338140189567;104692736332549;-14645403857018;192.168.1.111
101027651428;119339140447166;104693736585452;-14645403861714;192.168.1.111
102027911652;119340140707390;104694736849633;-14645403857757;192.168.1.111
103028167210;119341140962948;104695737105276;-14645403857672;192.168.1.111
104028436767;119342141232505;104696737395624;-14645403836881;192.168.1.111
105028736950;119343141532688;104697737674637;-14645403858051;192.168.1.111
106028999215;119344141794953;104698737945966;-14645403848987;192.168.1.111
107029261773;119345142057511;104699738230406;-14645403827105;192.168.1.111
108029529580;119346142325318;104700738472365;-14645403852953;192.168.1.111
109029797679;119347142593417;104701738743822;-14645403849595;192.168.1.111
110030058195;119348142853933;104702739005800;-14645403848133;192.168.1.111
111030400961;119349143196699;104703739355219;-14645403841480;192.168.1.111
112030679560;119350143475298;104704739630474;-14645403844824;192.168.1.111
113030951743;119351143747481;104705739891691;-14645403855790;192.168.1.111
114031216925;119352144012663;104706740163131;-14645403849532;192.168.1.111
115031471608;119353144267346;104707740411387;-14645403855959;192.168.1.111
116031727165;119354144522903;104708740679382;-14645403843521;192.168.1.111
117031987389;119355144783127;104709740926952;-14645403856175;192.168.1.111
118032242946;119356145038684;104710741190151;-14645403848533;192.168.1.111
119032505212;119357145300950;104711741455091;-14645403845859;192.168.1.111
120032772145;119358145567883;104712741712698;-14645403855185;192.168.1.111
121033036452;119359145832190;104713741985728;-14645403846462;192.168.1.111
122033299885;119360146095623;104714742250095;-14645403845528;192.168.1.111
123033563026;119361146358764;104715742504406;-14645403854358;192.168.1.111
124033827041;119362146622779;104716742778789;-14645403843990;192.168.1.111
125034093391;119363146889129;104717743044155;-14645403844974;192.168.1.111
126034357115;119364147152853;104718743304707;-14645403848146;192.168.1.111
127034617631;119365147413369;104719743558628;-14645403854741;192.168.1.111
128034871730;119366147667468;104720743811865;-14645403855603;192.168.1.111
129035126412;119367147922150;104721744076694;-14645403845456;192.168.1.111
130035395970;119368148191708;104722744339337;-14645403852371;192.168.1.111
131035662027;119369148457765;104723744609795;-14645403847970;192.168.1.111
132035934210;119370148729948;104724744875086;-14645403854862;192.168.1.111
133036189184;119371148984922;104725745138841;-14645403846081;192.168.1.111
134036456408;119372149252146;104726745398373;-14645403853773;192.168.1.111
135036720716;119373149516454;104727745668795;-14645403847659;192.168.1.111
136036968690;119374149764428;104728745914346;-14645403850082;192.168.1.111
137037211413;119375150007151;104729746158341;-14645403848810;192.168.1.111
138037456471;119376150252209;104730746402226;-14645403849983;192.168.1.111
139037699779;119377150495517;104731746647999;-14645403847518;192.168.1.111
140037941336;119378150737074;104732746890199;-14645403846875;192.168.1.111
141038185811;119379150981549;104733747128751;-14645403852798;192.168.1.111
142038440493;119380151236231;104734747389338;-14645403846893;192.168.1.111
143038689925;119381151485663;104735747631945;-14645403853718;192.168.1.111
144038934983;119382151730721;104736747874423;-14645403856298;192.168.1.111
145039175666;119383151971404;104737748118067;-14645403853337;192.168.1.111
146039419848;119384152215586;104738748357229;-14645403858357;192.168.1.111
147039658198;119385152453936;104739748602336;-14645403851600;192.168.1.111
148039902088;119386152697826;104740748844720;-14645403853106;192.168.1.111
149040142479;119387152938217;104741749087159;-14645403851058;192.168.1.111
150040387245;119388153182983;104742749329785;-14645403853198;192.168.1.111
151040630261;119389153425999;104743749568096;-14645403857903;192.168.1.111
152040867152;119390153662890;104744749810331;-14645403852559;192.168.1.111
153041108709;119391153904447;104745750052495;-14645403851952;192.168.1.111
154041351433;119392154147171;104746750294231;-14645403852940;192.168.1.111
155041592699;119393154388437;104747750535485;-14645403852952;192.168.1.111
156041855257;119394154650995;104748750798573;-14645403852422;192.168.1.111
157042096815;119395154892553;104749751040106;-14645403852447;192.168.1.111
158042338372;119396155134110;104750751281028;-14645403853082;192.168.1.111
159042579638;119397155375376;104751751522338;-14645403853038;192.168.1.111
160042820904;119398155616642;104752751765463;-14645403851179;192.168.1.111
161043068294;119399155864032;104753752008347;-14645403855685;192.168.1.111
162043306644;119400156102382;104754752248733;-14645403853649;192.168.1.111
163043547910;119401156343648;104755752485339;-14645403858309;192.168.1.111
164043788301;119402156584039;104756752744093;-14645403839946;192.168.1.111
165044041525;119403156837263;104757752986774;-14645403850489;192.168.1.111
166044345791;119404157141529;104758753291749;-14645403849780;192.168.1.111
167044611848;119405157407586;104759753586152;-14645403821434;192.168.1.111
168044875864;119406157671602;104760753823685;-14645403847917;192.168.1.111
169045135797;119407157931535;104761754089143;-14645403842392;192.168.1.111
170045404187;119408158199925;104762754345860;-14645403854065;192.168.1.111
171045663536;119409158459274;104763754604464;-14645403854810;192.168.1.111
172045922885;119410158718623;104764754880219;-14645403838404;192.168.1.111
173046183109;119411158978847;104765755128790;-14645403850057;192.168.1.111
174046448001;119412159243739;104766755394081;-14645403849658;192.168.1.111
175046714641;119413159510379;104767755663853;-14645403846526;192.168.1.111
176046973991;119414159769729;104768755919551;-14645403850178;192.168.1.111
177047238590;119415160034328;104769756195232;-14645403839096;192.168.1.111
178047510480;119416160306218;104770756457374;-14645403848844;192.168.1.111
179047775371;119417160571109;104771756732944;-14645403838165;192.168.1.111
180048034720;119418160830458;104772756981976;-14645403848482;192.168.1.111
181048294070;119419161089808;104773757250582;-14645403839226;192.168.1.111
182048563627;119420161359365;104774757511077;-14645403848288;192.168.1.111
183048822392;119421161618130;104775757768091;-14645403850039;192.168.1.111
184049089617;119422161885355;104776758035456;-14645403849899;192.168.1.111
185049355674;119423162151412;104777758301210;-14645403850202;192.168.1.111
186049619982;119424162415720;104778758565946;-14645403849774;192.168.1.111
187049884289;119425162680027;104779758837367;-14645403842660;192.168.1.111
188050148305;119426162944043;104780759095176;-14645403848867;192.168.1.111
189050412905;119427163208643;104781759354690;-14645403853953;192.168.1.111
190050671670;119428163467408;104782759619333;-14645403848075;192.168.1.111
191050934811;119429163730549;104783759892271;-14645403838278;192.168.1.111
192051198535;119430163994273;104784760152508;-14645403841765;192.168.1.111
193051468676;119431164264414;104785760427373;-14645403837041;192.168.1.111
194051731525;119432164527263;104786760679239;-14645403848024;192.168.1.111
195051984749;119433164780487;104787760938289;-14645403842198;192.168.1.111
196052254890;119434165050628;104788761202618;-14645403848010;192.168.1.111
197052522697;119435165318435;104789761477000;-14645403841435;192.168.1.111
198052789922;119436165585660;104790761749050;-14645403836610;192.168.1.111
199053052188;119437165847926;104791762006546;-14645403841380;192.168.1.111
200053316203;119438166111941;104792762267576;-14645403844365;192.168.1.111
201053587219;119439166382957;104793762534165;-14645403848792;192.168.1.111
202053842193;119440166637931;104794762803530;-14645403834401;192.168.1.111
203054101543;119441166897281;104795763049432;-14645403847849;192.168.1.111
204054363225;119442167158963;104796763308705;-14645403850258;192.168.1.111
205054625199;119443167420937;104797763586736;-14645403834201;192.168.1.111
206054891840;119444167687578;104798763839972;-14645403847606;192.168.1.111
207055171314;119445167967052;104799764131856;-14645403835196;192.168.1.111
208055442330;119446168238068;104800764392535;-14645403845533;192.168.1.111
209055708096;119447168503834;104801764668844;-14645403834990;192.168.1.111
210055979111;119448168774849;104802764928414;-14645403846435;192.168.1.111
211056243711;119449169039449;104803765197001;-14645403842448;192.168.1.111
212056501310;119450169297048;104804765454978;-14645403842070;192.168.1.111
213056760951;119451169556689;104805765717009;-14645403839680;192.168.1.111
214057022341;119452169818079;104806765978559;-14645403839520;192.168.1.111
215057293941;119453170089679;104807766239610;-14645403850069;192.168.1.111
216057553289;119454170349027;104808766504030;-14645403844997;192.168.1.111
217057819055;119455170614793;104809766784451;-14645403830342;192.168.1.111
218058083363;119456170879101;104810767034075;-14645403845026;192.168.1.111
219058347379;119457171143117;104811767306884;-14645403836233;192.168.1.111
220058619269;119458171415007;104812767572009;-14645403842998;192.168.1.111
221058940160;119459171735898;104813767888040;-14645403847858;192.168.1.111
222059211759;119460172007497;104814768162719;-14645403844778;192.168.1.111
223059471400;119461172267138;104815768430566;-14645403836572;192.168.1.111
224059745041;119462172540779;104816768705800;-14645403834979;192.168.1.111
225060030640;119463172826378;104817768981869;-14645403844509;192.168.1.111
226060297573;119464173093311;104818769249439;-14645403843872;192.168.1.111
227060564505;119465173360243;104819769529376;-14645403830867;192.168.1.111
228060830854;119466173626592;104820769784872;-14645403841720;192.168.1.111
229061100995;119467173896733;104821770051440;-14645403845293;192.168.1.111
230061364719;119468174160457;104822770317379;-14645403843078;192.168.1.111
231061621735;119469174417473;104823770573077;-14645403844396;192.168.1.111
232061877292;119470174673030;104824770831220;-14645403841810;192.168.1.111
233062125267;119471174921005;104825771077178;-14645403843827;192.168.1.111
