,Sum,Mean,Median,Mode,Std,IQR,Kurtosis,Skew,Max,Min,Device
1,-648480,-10808.0,2600.0,-785883,102061.35721221818,5455.0,59.25254698589969,-7.674862868689297,27328,-785883,Disp. 1
2,154800,2580.0,2824.0,-23685,8103.850605981566,5337.5,3.9317342730362586,-0.3813964113329182,27328,-23685,Disp. 1
3,145653,2427.55,2824.0,-23685,8266.144251951317,5337.5,3.4810418035025976,-0.3717232739055085,27328,-23685,Disp. 1
4,145746,2429.1,2824.0,-23685,8265.872928975263,5337.5,3.482207973990437,-0.37232431000451477,27328,-23685,Disp. 1
5,169832,2830.5333333333333,2824.0,-23685,7616.823285659958,5126.5,4.048450922917725,-0.05833118979601347,27328,-23685,Disp. 1
6,168415,2806.9166666666665,2720.0,-23685,7619.418591395538,5126.5,4.03795660201477,-0.048798006344743024,27328,-23685,Disp. 1
7,163836,2730.6,2368.0,-23685,7609.82011680759,5032.5,4.072279330537192,-0.019259492071318145,27328,-23685,Disp. 1
8,180719,3011.983333333333,2720.0,-23685,7803.904158711945,4939.0,3.559089718421585,-0.03158247480434738,27328,-23685,Disp. 1
9,169748,2829.133333333333,2368.0,-23685,7920.199857234101,5153.0,3.2274817319051237,0.0006619599621358637,27328,-23685,Disp. 1
10,163211,2720.1833333333334,2173.0,-23685,7927.305356806719,5455.0,3.2065206425827495,0.04063914701453567,27328,-23685,Disp. 1
11,166880,2781.3333333333335,2368.0,-23685,7934.164377020553,5549.0,3.1838339059958813,0.01736469246702347,27328,-23685,Disp. 1
12,169452,2824.2,2485.5,-23685,7925.292788902534,5549.0,3.21172654708151,0.0014757681910800328,27328,-23685,Disp. 1
13,162492,2708.2,2485.5,-23685,7858.47924391982,5455.0,3.412498937615027,0.029599147959107144,27328,-23685,Disp. 1
14,164220,2737.0,2485.5,-23685,7834.053633910292,5455.0,3.4845768630489977,0.02657407116649816,27328,-23685,Disp. 1
15,170350,2839.1666666666665,2720.0,-23685,7824.723509853222,5027.0,3.515041921938922,-0.011460821445352045,27328,-23685,Disp. 1
16,177740,2962.3333333333335,2720.0,-23685,7954.339181805679,5027.0,3.1818561660950047,-0.003191129660964518,27328,-23685,Disp. 1
17,167082,2784.7,2485.5,-23685,8065.288266623135,5549.0,2.8901839592319614,0.02838265043703567,27328,-23685,Disp. 1
18,158331,2638.85,2485.5,-23685,7986.362725752452,5455.0,3.110756178733968,0.0642246087713166,27328,-23685,Disp. 1
19,165454,2757.5666666666666,2551.5,-23685,8009.206290404804,5549.0,3.0397406006237726,0.022559327408976412,27328,-23685,Disp. 1
20,166874,2781.233333333333,2551.5,-23685,7988.286894194199,5549.0,3.0957638558157092,0.020625578448540016,27328,-23685,Disp. 1
21,164902,2748.366666666667,2551.5,-23685,7995.262077867448,5549.0,3.0746614180075773,0.032687788356817564,27328,-23685,Disp. 1
22,170484,2841.4,2775.5,-23685,8009.2736169509435,5610.25,3.031485689851634,-0.0011830609809748904,27328,-23685,Disp. 1
23,168953,2815.883333333333,2551.5,-23685,8009.1963182409445,5610.25,3.031775356715643,0.008673642956105574,27328,-23685,Disp. 1
24,153847,2564.116666666667,2485.5,-23685,7801.922312213779,5549.0,3.525940549131039,0.011886757480434738,27328,-23685,Disp. 1
25,160869,2681.15,2485.5,-23685,7695.455026303798,5504.25,3.8401180747307806,0.006803622423342371,27328,-23685,Disp. 1
26,166430,2773.8333333333335,2485.5,-23685,7733.5502233125235,5565.5,3.7099815910917138,-0.022529421930067052,27328,-23685,Disp. 1
27,165495,2758.25,2485.5,-23685,7738.047981471769,5565.5,3.6940728680183414,-0.016763289870544762,27328,-23685,Disp. 1
28,165694,2761.5666666666666,2485.5,-23685,7739.050704643274,5688.75,3.690604586813803,-0.017967023673916838,27328,-23685,Disp. 1
29,139386,2323.1,2357.5,-23685,7037.032393351956,5565.5,3.894181962657394,-0.5765216812299631,22214,-23685,Disp. 1
30,163210,2720.1666666666665,2357.5,-16641,6162.432631506256,5088.25,2.7822057093855084,0.258573340650642,22214,-16641,Disp. 1
31,163085,2718.0833333333335,2357.5,-16641,6161.825665767471,5088.25,2.7848861051034297,0.25961152388379416,22214,-16641,Disp. 1
32,157593,2626.55,2357.5,-16641,5902.64785577812,5088.25,2.2557554188223317,-0.05416953938009056,17397,-16641,Disp. 1
33,161470,2691.1666666666665,2357.5,-12764,5706.098251860636,5088.25,1.5826642128530675,0.2358921974326632,17397,-12764,Disp. 1
34,160321,2672.016666666667,2357.5,-12764,5701.092998066149,5088.25,1.6025110746717712,0.24621093284623558,17397,-12764,Disp. 1
35,161269,2687.8166666666666,2357.5,-12764,5692.039071925603,4990.0,1.6276817227609572,0.24156567595399295,17397,-12764,Disp. 1
36,158689,2644.8166666666666,2357.5,-12764,5648.600506115087,4990.0,1.7488962310641578,0.24668126768835996,17397,-12764,Disp. 1
37,160262,2671.0333333333333,2357.5,-12764,5634.993423263774,4934.25,1.7886241736291422,0.23792830743185003,17397,-12764,Disp. 1
38,159858,2664.3,2357.5,-12764,5634.53123582234,4934.25,1.7914724131574036,0.24167702546439776,17397,-12764,Disp. 1
39,164399,2739.983333333333,2485.5,-12764,5606.573628088295,4920.25,1.8712007015674366,0.21118540237161587,17397,-12764,Disp. 1
40,158153,2635.883333333333,2357.5,-12764,5611.687111769105,4786.0,1.8729122410409587,0.2619479565765807,17397,-12764,Disp. 1
41,160147,2669.116666666667,2485.5,-12764,5614.399610480019,4786.0,1.8568773054400078,0.24352369249108138,17397,-12764,Disp. 1
42,169616,2826.9333333333334,2485.5,-12764,5800.757720425276,4934.25,1.4900388163061247,0.27017868177072213,17397,-12764,Disp. 1
43,169742,2829.0333333333333,2485.5,-12764,5800.564440584944,4934.25,1.4902393446757123,0.26909150424475714,17397,-12764,Disp. 1
44,158364,2639.4,2420.5,-12764,5960.7676567391145,4990.0,1.2296135777598818,0.24616879996047522,17397,-12764,Disp. 1
45,156314,2605.233333333333,2226.5,-12764,5962.791848001981,4990.0,1.2299541795662612,0.26345540903323117,17397,-12764,Disp. 1
46,154402,2573.366666666667,2226.5,-12764,5971.879030205855,5073.25,1.2101659256913178,0.2773237478175271,17397,-12764,Disp. 1
47,162274,2704.5666666666666,2420.5,-12764,6002.3658142737,5196.5,1.109854189527708,0.2190963431347499,17397,-12764,Disp. 1
48,161439,2690.65,2226.5,-12764,6003.8253873845615,5196.5,1.1079290260219907,0.22603895160875165,17397,-12764,Disp. 1
49,161345,2689.0833333333335,2226.5,-12764,6003.265931174086,5196.5,1.1097218118834058,0.22681054791831484,17397,-12764,Disp. 1
50,148883,2481.383333333333,2067.0,-12764,5967.065968656101,5183.5,1.2233906362142632,0.2964802927416219,17397,-12764,Disp. 1
51,157808,2630.133333333333,2226.5,-12764,5944.555961141357,5196.5,1.2514779336140598,0.23849508226631833,17397,-12764,Disp. 1
52,156626,2610.4333333333334,2067.0,-12764,5945.456671222029,5196.5,1.2522677467644328,0.24861271392426584,17397,-12764,Disp. 1
53,153870,2564.5,2067.0,-12764,5937.409597527659,5196.5,1.2843738427581726,0.2725027264663556,17397,-12764,Disp. 1
54,161318,2688.633333333333,2160.0,-12764,5895.321008688181,5085.25,1.3735627625576847,0.2288424218799553,17397,-12764,Disp. 1
55,154852,2580.866666666667,2067.0,-12764,5928.01820849312,5196.5,1.3030650534408728,0.2704187245267724,17397,-12764,Disp. 1
56,150670,2511.1666666666665,2067.0,-12764,5881.948397835726,4894.75,1.4398210646720373,0.2963893842618143,17397,-12764,Disp. 1
57,153245,2554.0833333333335,2106.5,-12764,5869.364526257539,4783.5,1.4691200485280338,0.2778514262953456,17397,-12764,Disp. 1
58,163882,2731.366666666667,2179.5,-12764,6000.136636768117,5085.25,1.1709394866009144,0.24277195497749302,17397,-12764,Disp. 1
59,151517,2525.2833333333333,2106.5,-12764,6184.040410582511,5196.5,0.935620144875791,0.20851626089831365,17397,-12764,Disp. 1
60,154926,2582.1,2179.5,-12764,6166.954055999895,5085.25,0.9713788358522604,0.1848725557618941,17397,-12764,Disp. 1
61,153616,2560.266666666667,2179.5,-12764,6154.113186652021,5085.25,1.0056336291914953,0.1932704475500584,17397,-12764,Disp. 1
62,138226,2303.766666666667,2106.5,-12764,5837.841705214457,4783.5,1.2025561981909658,0.07502140912015014,16722,-12764,Disp. 1
63,152347,2539.116666666667,2179.5,-12764,5586.4867832456675,4741.75,1.4586859008122448,0.17294258777452665,16722,-12764,Disp. 1
64,152650,2544.1666666666665,2179.5,-12764,5585.2565094932,4741.75,1.4620342408989306,0.1704147430716786,16722,-12764,Disp. 1
65,154803,2580.05,2299.5,-12764,5588.923183708096,4741.75,1.4456498511280729,0.15062209348104783,16722,-12764,Disp. 1
66,151344,2522.4,2299.5,-12764,5620.2392560206235,4783.5,1.360164506824892,0.16956815887929882,16722,-12764,Disp. 1
67,152235,2537.25,2339.0,-12764,5618.456605808746,4783.5,1.363999321514743,0.16165811425373522,16722,-12764,Disp. 1
68,148916,2481.9333333333334,2339.0,-12764,5493.197848762569,4783.5,1.268226267973962,0.042790859233185034,16722,-12764,Disp. 1
69,150791,2513.1833333333334,2339.0,-12764,5440.635579432986,4783.5,1.3203074315632732,0.07629400200391677,16722,-12764,Disp. 1
70,151360,2522.6666666666665,2339.0,-12764,5434.897440806993,4783.5,1.3370241734412072,0.07307163369690768,16722,-12764,Disp. 1
71,152496,2541.6,2339.0,-12764,5447.26818549865,4783.5,1.2995357452338587,0.06637031564353407,16722,-12764,Disp. 1
72,150556,2509.266666666667,2272.5,-12764,5453.424350628016,4783.5,1.28167249364544,0.08367291972212276,16722,-12764,Disp. 1
73,145689,2428.15,2179.5,-12764,5470.73505991313,4894.75,1.2356690102790906,0.12361198713681923,16722,-12764,Disp. 1
74,155159,2585.983333333333,2272.5,-12764,5449.302647009117,5085.25,1.2802949225940297,0.05946962944404392,16722,-12764,Disp. 1
75,148705,2478.4166666666665,2179.5,-12764,5461.518095565745,4897.25,1.251501291131841,0.11205347129224473,16722,-12764,Disp. 1
76,139112,2318.5333333333333,2179.5,-12764,5231.456427688398,4897.25,1.5048503322093523,-0.002110822290906015,16722,-12764,Disp. 1
77,149250,2487.5,2272.5,-12764,5074.429120433656,4786.0,1.849877205622105,0.016546301642528835,16722,-12764,Disp. 1
78,148359,2472.65,2179.5,-12764,5075.3771232510735,4786.0,1.8464093030050397,0.025555595427894044,16722,-12764,Disp. 1
79,145887,2431.45,2179.5,-12764,5041.542222426435,4786.0,1.9618182342991513,0.03415684818947507,16722,-12764,Disp. 1
80,151147,2519.116666666667,2179.5,-12764,4982.51755536777,4744.25,2.169004735379891,0.009915307793003585,16722,-12764,Disp. 1
81,152611,2543.516666666667,2179.5,-12764,4974.102421344236,4723.25,2.20405530290108,-0.003388410128804817,16722,-12764,Disp. 1
82,147873,2464.55,2106.5,-12764,4943.365467978268,4374.25,2.329359660496207,0.03514228067628163,16722,-12764,Disp. 1
83,147592,2459.866666666667,2079.5,-12764,4943.862304959098,4374.25,2.3273074031331267,0.03803795935484079,16722,-12764,Disp. 1
84,146411,2440.1833333333334,2079.5,-12764,4949.946106509104,4374.25,2.301704791286405,0.04900610895983667,16722,-12764,Disp. 1
85,148923,2482.05,2079.5,-12764,4932.686487149621,4202.5,2.373557673855067,0.02808541386207663,16722,-12764,Disp. 1
86,140720,2345.3333333333335,2020.0,-12764,4872.827532161598,4087.25,2.607975939314039,0.0797612044352446,16722,-12764,Disp. 1
87,147003,2450.05,2079.5,-12764,4891.298803028544,4098.0,2.524025733053971,0.023983514926983158,16722,-12764,Disp. 1
88,143146,2385.766666666667,2020.0,-12764,4880.412924898274,3982.75,2.5755036194126073,0.06179498827284598,16722,-12764,Disp. 1
89,150493,2508.2166666666667,2079.5,-12764,4937.400644240997,4098.0,2.35001258503728,0.014238697280814106,16722,-12764,Disp. 1
90,144682,2411.366666666667,2079.5,-12764,5040.576950991826,4098.0,2.039409762529948,-0.00010176417311187276,16722,-12764,Disp. 1
91,145980,2433.0,2079.5,-12764,5052.124694839132,4448.75,1.9950803770505279,-0.009570544176925199,16722,-12764,Disp. 1
92,142667,2377.7833333333333,2079.5,-12764,4909.396031380831,4448.75,1.7322881130817467,-0.21189233367216215,14110,-12764,Disp. 1
93,146400,2440.0,2079.5,-9031,4734.801687182807,4448.75,1.160530419459914,0.051169260869417775,14110,-9031,Disp. 1
94,140585,2343.0833333333335,2020.0,-9031,4770.595561341059,4598.0,1.05532941071178,0.09627313941011491,14110,-9031,Disp. 1
95,150603,2510.05,2079.5,-9031,4859.685343880345,4794.25,0.8511535849524257,0.05408068995665708,14110,-9031,Disp. 1
