,Sum,Mean,Median,Mode,Std,IQR,Kurtosis,Skew,Max,Min,Device
1,-815404,-13590.066666666668,150.0,-511,107618.1169879374,3037.75,59.808076547819006,-7.727730314453972,15138,-832679,Disp. 4
2,22963,382.71666666666664,241.0,-511,4255.663899257826,2879.0,7.24256332841761,-0.8134105347195019,15138,-16621,Disp. 4
3,33186,553.1,241.0,-511,3864.8284137587025,2879.0,8.806085642981438,-0.37492407947235595,15138,-16621,Disp. 4
4,31383,523.05,241.0,-511,3858.5655164730915,2850.75,8.871080420917481,-0.3540252899306474,15138,-16621,Disp. 4
5,35520,592.0,343.5,-16621,3876.694678088364,2879.0,8.6832013397993,-0.39496107160780464,15138,-16621,Disp. 4
6,31127,518.7833333333333,241.0,-16621,3903.08847327677,3066.0,8.349986114637913,-0.3428156320036569,15138,-16621,Disp. 4
7,29941,499.01666666666665,150.0,-16621,3902.196871436182,3066.0,8.353212918869858,-0.3274809833293729,15138,-16621,Disp. 4
8,35579,592.9833333333333,241.0,-16621,3870.354218851103,2879.0,8.75095930310432,-0.3894758296331573,15138,-16621,Disp. 4
9,33295,554.9166666666666,150.0,-16621,3881.9189309100975,3066.0,8.59633778042411,-0.3593093013949196,15138,-16621,Disp. 4
10,25929,432.15,150.0,-16621,3746.190457414084,3050.5,9.976998003360531,-0.45436418450603855,15138,-16621,Disp. 4
11,27335,455.5833333333333,241.0,-16621,3745.065192760014,3050.5,10.005180252197393,-0.4739224362001503,15138,-16621,Disp. 4
12,32305,538.4166666666666,343.5,-16621,3718.3609123233027,2863.5,10.418616554928096,-0.5362593783143714,15138,-16621,Disp. 4
13,29677,494.6166666666667,241.0,-16621,3723.0479498665673,3012.0,10.325093388386028,-0.4997236907470955,15138,-16621,Disp. 4
14,30241,504.01666666666665,241.0,-16621,3727.1299609056064,3027.5,10.272441581107737,-0.5044370408828345,15138,-16621,Disp. 4
15,29487,491.45,241.0,-16621,3731.241363956732,3197.0,10.206713002660539,-0.493465706009005,15138,-16621,Disp. 4
16,38671,644.5166666666667,343.5,-16621,3892.582775065222,3260.25,8.62731297563595,-0.36628436301521294,15138,-16621,Disp. 4
17,29993,499.8833333333333,241.0,-16621,4021.058226057493,3381.25,7.403833388235702,-0.3520816374945112,15138,-16621,Disp. 4
18,36273,604.55,343.5,-16621,4068.970395837673,3574.75,6.99625132917809,-0.38631935072424767,15138,-16621,Disp. 4
19,31384,523.0666666666667,241.0,-16621,4122.5503126373105,3714.75,6.491941410845497,-0.34395455584659484,15138,-16621,Disp. 4
20,29225,487.0833333333333,241.0,-16621,4113.091246630366,3521.25,6.567133632339745,-0.3216029771238536,15138,-16621,Disp. 4
21,31584,526.4,241.0,-16621,4094.7825305968763,3381.25,6.750289858494268,-0.3486475176296154,15138,-16621,Disp. 4
22,30634,510.56666666666666,241.0,-16621,4090.6141280537286,3381.25,6.784675953915542,-0.3385642520041432,15138,-16621,Disp. 4
23,28305,471.75,241.0,-16621,4111.469297452956,3521.25,6.579403206034895,-0.31335790799186186,15138,-16621,Disp. 4
24,27417,456.95,241.0,-16621,4098.116634090613,3521.25,6.690486453729848,-0.3142311879069866,15138,-16621,Disp. 4
25,31672,527.8666666666667,377.5,-16621,4084.3510924414522,3381.25,6.844683705072139,-0.36452830373683925,15138,-16621,Disp. 4
26,31103,518.3833333333333,377.5,-16621,4086.330794128095,3381.25,6.821831038571322,-0.3571202475201535,15138,-16621,Disp. 4
27,24155,402.5833333333333,241.0,-16621,4139.145090194787,3521.25,6.33445273228201,-0.2961605691973433,15138,-16621,Disp. 4
28,18046,300.76666666666665,241.0,-16621,3834.45433930644,3521.25,5.991258193271122,-1.0855078218339729,9111,-16621,Disp. 4
29,33178,552.9666666666667,241.0,-7223,3136.769773037152,3521.25,1.1622842231032045,0.5165082673733824,9111,-7223,Disp. 4
30,33574,559.5666666666667,241.0,-7223,3132.443949566399,3439.0,1.1789721227057322,0.5148780069423634,9111,-7223,Disp. 4
31,32224,537.0666666666667,150.0,-7223,3133.3738131776336,3439.0,1.1900374089508525,0.536310365355323,9111,-7223,Disp. 4
32,30398,506.6333333333333,150.0,-7223,3118.2234944887964,3360.75,1.2913293067984362,0.5663051029605299,9111,-7223,Disp. 4
33,34145,569.0833333333334,241.0,-7223,3144.904855835847,3439.0,1.1169259185895348,0.5092870580634058,9111,-7223,Disp. 4
34,31570,526.1666666666666,241.0,-7223,3172.4030092514013,3521.25,1.0213084705713675,0.5186340060425716,9111,-7223,Disp. 4
35,33095,551.5833333333334,254.5,-7223,3163.2696466385273,3463.5,1.0498219879502835,0.5017977226600396,9111,-7223,Disp. 4
36,25008,416.8,168.5,-7223,3012.1475350456126,3385.25,1.3590752551699103,0.46199382577333814,9111,-7223,Disp. 4
37,25684,428.06666666666666,168.5,-7223,3009.23837352586,3385.25,1.3689015336448418,0.45251657375765875,9111,-7223,Disp. 4
38,31080,518.0,254.5,-7223,3022.1264822267567,3362.0,1.2547785036886565,0.3815927649513993,9111,-7223,Disp. 4
39,29026,483.76666666666665,168.5,-7223,3035.928609322682,3463.5,1.1993453454528464,0.40432250194408187,9111,-7223,Disp. 4
40,26003,433.3833333333333,150.0,-7223,3027.3780852255554,3385.25,1.2760083046107167,0.4537234047359874,9111,-7223,Disp. 4
41,29816,496.93333333333334,168.5,-7223,3016.7998583450535,3283.75,1.2930447909461473,0.4035436705092635,9111,-7223,Disp. 4
42,31228,520.4666666666667,305.0,-7223,3019.5933527247025,3283.75,1.2638374163703197,0.37904311941874747,9111,-7223,Disp. 4
43,28428,473.8,163.5,-7223,3041.8934881452274,3385.25,1.1749423759920812,0.4040007823112008,9111,-7223,Disp. 4
44,27436,457.26666666666665,163.5,-7223,3023.161903336523,3385.25,1.2578205645262472,0.40692452072605045,9111,-7223,Disp. 4
45,28737,478.95,163.5,-7223,3003.0246922964807,3385.25,1.338286735292011,0.4120949859384676,9111,-7223,Disp. 4
46,30749,512.4833333333333,163.5,-7223,3035.208079269571,3385.25,1.1780173078497786,0.3972030005407075,9111,-7223,Disp. 4
47,30121,502.01666666666665,163.5,-7223,3043.9879701518826,3385.25,1.1428064205550696,0.397015418340542,9111,-7223,Disp. 4
48,26498,441.6333333333333,163.5,-7223,3091.037777388516,3528.5,0.9808675709971788,0.39616880151491113,9111,-7223,Disp. 4
49,28677,477.95,163.5,-7223,3104.625327021997,3615.0,0.8950217012595627,0.3613358767030481,9111,-7223,Disp. 4
50,27237,453.95,163.5,-7223,3091.476370603534,3528.5,0.9703446742410828,0.3825772707362268,9111,-7223,Disp. 4
51,30828,513.8,305.0,-7223,3088.928209710573,3428.25,0.953142145885669,0.3303363151749425,9111,-7223,Disp. 4
52,28699,478.31666666666666,305.0,-7223,3108.324304632379,3631.5,0.8790164675743077,0.34764556714763956,9111,-7223,Disp. 4
53,29134,485.56666666666666,305.0,-7223,3111.421890698994,3631.5,0.8603317681052691,0.3406928209738783,9111,-7223,Disp. 4
54,34218,570.3,459.0,-7223,3170.6525409753153,3730.5,0.6235067452943315,0.2977270995495573,9111,-7223,Disp. 4
55,30844,514.0666666666667,305.0,-7223,3197.7029354330016,3861.75,0.539015973647897,0.3268901157048713,9111,-7223,Disp. 4
56,31559,525.9833333333333,305.0,-7223,3194.7511215321724,3861.75,0.5472596115170312,0.31695846356726304,9111,-7223,Disp. 4
57,31227,520.45,305.0,-7223,3197.466372121442,3861.75,0.5379288134253692,0.3202422601334173,9111,-7223,Disp. 4
58,28792,479.8666666666667,305.0,-7223,3180.988298971263,3762.75,0.6266930021526291,0.35662688359562894,9111,-7223,Disp. 4
59,27925,465.4166666666667,305.0,-7223,3175.5053743882036,3746.25,0.6587959272597921,0.3705318820601502,9111,-7223,Disp. 4
60,32383,539.7166666666667,305.0,-7223,3105.185996185084,3615.0,0.8336860154527646,0.40018310900257353,9111,-7223,Disp. 4
61,28460,474.3333333333333,140.5,-7223,3078.401046915381,3547.0,0.9918847888877651,0.45716978569615746,9111,-7223,Disp. 4
62,24375,406.25,140.5,-7223,3005.447244559536,3434.25,1.2825201876406678,0.4709883494242771,9111,-7223,Disp. 4
63,27504,458.4,140.5,-7223,2961.956077221577,3231.0,1.4495991600568368,0.47967818298991555,9111,-7223,Disp. 4
64,29406,490.1,140.5,-7223,2971.786865889138,3343.75,1.3707432831647828,0.44620767299566877,9111,-7223,Disp. 4
65,24541,409.01666666666665,94.0,-7223,2951.072660436395,3231.0,1.5332715186000647,0.5163961155195395,9111,-7223,Disp. 4
66,27408,456.8,94.0,-7223,2917.6310148788607,3155.0,1.6786779132463008,0.5118641405324492,9111,-7223,Disp. 4
67,28136,468.93333333333334,140.5,-7223,2917.5892873599455,3155.0,1.6699553091532242,0.49904788512080533,9111,-7223,Disp. 4
68,28090,468.1666666666667,140.5,-7223,2917.1674511164265,3155.0,1.6731234291930144,0.499837290475107,9111,-7223,Disp. 4
