,Sum,Mean,Median,Mode,Std,IQR,Kurtosis,Skew,Max,Min,Device
1,-474582.0,-7909.7,-8169.5,-21129.0,4835.756096735922,4555.0,3.6509891533583105,0.7015937932968024,10047.0,-21129.0,Disp. 3
2,-467555.0,-7792.583333333333,-8062.5,-21129.0,4836.830844680894,4330.25,3.575981941070656,0.6394412224421842,10047.0,-21129.0,Disp. 3
3,-460635.0,-7677.25,-8062.5,-21129.0,4641.158591562445,4330.25,4.040969408236792,0.8854445102463002,10047.0,-21129.0,Disp. 3
4,-471752.0,-7862.533333333334,-8062.5,-21129.0,4388.653364621346,4202.0,5.100676052032879,0.8615386354161259,10047.0,-21129.0,Disp. 3
5,-463650.0,-7727.5,-7993.0,-21129.0,4305.159539554481,3828.5,5.530555514644664,0.8799117826909593,10047.0,-21129.0,Disp. 3
6,-464627.0,-7743.783333333334,-7993.0,-21129.0,4300.540849280203,3828.5,5.581907684864113,0.893531179046523,10047.0,-21129.0,Disp. 3
7,-464339.0,-7738.983333333334,-7993.0,-21129.0,4300.478855842454,3828.5,5.578150480430532,0.8901077274540343,10047.0,-21129.0,Disp. 3
8,-464992.0,-7749.866666666667,-8062.5,-21129.0,4301.212467872904,3828.5,5.581877453987225,0.897453241344059,10047.0,-21129.0,Disp. 3
9,-461946.0,-7699.1,-7993.0,-21129.0,4288.789306860861,3712.75,5.636196428413426,0.8721718094793359,10047.0,-21129.0,Disp. 3
10,-454848.0,-7580.8,-7993.0,-21129.0,4449.050783546561,3712.75,4.70985780934522,0.8630721616895054,10047.0,-21129.0,Disp. 3
11,-458478.0,-7641.3,-7993.0,-21129.0,4505.282542730312,3712.75,4.426415010915461,0.8350614181975757,10047.0,-21129.0,Disp. 3
12,-460340.0,-7672.333333333333,-7993.0,-21129.0,4484.550479774948,3712.75,4.583132809712064,0.8584897177432085,10047.0,-21129.0,Disp. 3
13,-460347.0,-7672.45,-7993.0,-21129.0,4484.664295676462,3712.75,4.582545928092683,0.8584295346058456,10047.0,-21129.0,Disp. 3
14,-443649.0,-7394.15,-7993.0,-21129.0,5103.595109813792,3712.75,4.713573866872341,1.3122733131633362,11300.0,-21129.0,Disp. 3
15,-439464.0,-7324.4,-7993.0,-21129.0,5060.715726831198,3239.0,4.884789690726814,1.3212848539608912,11300.0,-21129.0,Disp. 3
16,-441320.0,-7355.333333333333,-7993.0,-21129.0,5057.843928892977,3239.0,4.937862379012357,1.342150481180382,11300.0,-21129.0,Disp. 3
17,-438517.0,-7308.616666666667,-7889.5,-21129.0,5041.091663087443,3018.5,4.9897576347791475,1.331121573394618,11300.0,-21129.0,Disp. 3
18,-435687.0,-7261.45,-7804.0,-21129.0,5033.579029370181,2903.0,4.984749594459798,1.3094719238372396,11300.0,-21129.0,Disp. 3
19,-435724.0,-7262.066666666667,-7804.0,-21129.0,5033.770608386233,2912.25,4.984212375247381,1.3096665123113675,11300.0,-21129.0,Disp. 3
20,-438748.0,-7312.466666666666,-7804.0,-21129.0,5008.677806742156,2794.5,5.198997841808088,1.3522200028109734,11300.0,-21129.0,Disp. 3
21,-433251.0,-7220.85,-7756.5,-21129.0,4972.818686518044,2725.5,5.32085596215302,1.3386886369612854,11300.0,-21129.0,Disp. 3
22,-424410.0,-7073.5,-7698.5,-21129.0,5085.025008688064,2843.25,4.5683957450911254,1.2372287291153,11300.0,-21129.0,Disp. 3
23,-435411.0,-7256.85,-7758.5,-21129.0,5222.587896153674,2794.5,4.146561537744743,1.1484486491045087,11300.0,-21129.0,Disp. 3
24,-443906.0,-7398.433333333333,-7758.5,-21129.0,5110.6664607902485,2533.75,4.825778683691992,1.2393254758783683,11300.0,-21129.0,Disp. 3
25,-432791.0,-7213.183333333333,-7698.5,-21129.0,5094.062916741166,2725.5,4.723462730230667,1.1846722380453971,11300.0,-21129.0,Disp. 3
26,-436301.0,-7271.683333333333,-7698.5,-21129.0,5153.736345773948,2725.5,4.476827092375226,1.1418058498006174,11300.0,-21129.0,Disp. 3
27,-441740.0,-7362.333333333333,-7758.5,-21129.0,5166.322432855502,2533.75,4.492820816566933,1.18165981996021,11300.0,-21129.0,Disp. 3
28,-433553.0,-7225.883333333333,-7698.5,-21129.0,5128.571262013234,2725.5,4.563138289209649,1.1488545463934339,11300.0,-21129.0,Disp. 3
29,-441955.0,-7365.916666666667,-7758.5,-21129.0,5165.896356144728,2533.75,4.499467755107055,1.1829632634600662,11300.0,-21129.0,Disp. 3
30,-438344.0,-7305.733333333334,-7698.5,-21129.0,5172.601587394964,2794.5,4.402762488640857,1.1442379604617223,11300.0,-21129.0,Disp. 3
31,-437490.0,-7291.5,-7698.5,-21129.0,5175.104402451335,2794.5,4.3748202955620155,1.134326271610311,11300.0,-21129.0,Disp. 3
32,-436613.0,-7276.883333333333,-7669.0,-21129.0,5173.443065855631,2794.5,4.370794042347633,1.126781112371412,11300.0,-21129.0,Disp. 3
33,-439220.0,-7320.333333333333,-7669.0,-21129.0,5193.279048620067,2928.5,4.301117801518933,1.1339298566850151,11300.0,-21129.0,Disp. 3
34,-436706.0,-7278.433333333333,-7643.5,-21129.0,5193.421674618332,2928.5,4.261570758458815,1.1092961823647667,11300.0,-21129.0,Disp. 3
