,Sum,Mean,Median,Mode,Std,IQR,Kurtosis,Skew,Max,Min,Device
1,-1313180,-21886.333333333332,-8264.0,-846710,108397.01144164552,4758.0,59.74914304912204,-7.721996346507179,10047,-846710,Disp. 3
2,-474582,-7909.7,-8169.5,-21129,4835.756096735922,4555.0,3.6509891533583105,0.7015937932968024,10047,-21129,Disp. 3
3,-467555,-7792.583333333333,-8062.5,-21129,4836.830844680894,4330.25,3.575981941070656,0.6394412224421842,10047,-21129,Disp. 3
4,-460635,-7677.25,-8062.5,-21129,4641.158591562445,4330.25,4.040969408236792,0.8854445102463002,10047,-21129,Disp. 3
5,-471752,-7862.533333333334,-8062.5,-21129,4388.653364621346,4202.0,5.100676052032879,0.8615386354161259,10047,-21129,Disp. 3
6,-463650,-7727.5,-7993.0,-21129,4305.159539554481,3828.5,5.530555514644664,0.8799117826909593,10047,-21129,Disp. 3
7,-464627,-7743.783333333334,-7993.0,-21129,4300.540849280203,3828.5,5.581907684864113,0.893531179046523,10047,-21129,Disp. 3
8,-464339,-7738.983333333334,-7993.0,-21129,4300.478855842454,3828.5,5.578150480430532,0.8901077274540343,10047,-21129,Disp. 3
9,-464992,-7749.866666666667,-8062.5,-21129,4301.212467872904,3828.5,5.581877453987225,0.897453241344059,10047,-21129,Disp. 3
10,-461946,-7699.1,-7993.0,-21129,4288.789306860861,3712.75,5.636196428413426,0.8721718094793359,10047,-21129,Disp. 3
11,-422739,-7045.65,-7993.0,-21129,6863.697928107347,3712.75,21.739416447822357,3.8017488244885427,33838,-21129,Disp. 3
12,-462527,-7708.783333333334,-7993.0,-49676,8793.674194192996,3712.75,16.422622147194883,0.04522200188958046,33838,-49676,Disp. 3
13,-457025,-7617.083333333333,-7993.0,-49676,8863.819502865485,3712.75,15.831371516180672,0.031679232365909804,33838,-49676,Disp. 3
14,-458572,-7642.866666666667,-7993.0,-49676,8878.936047627165,3712.75,15.705362241861001,0.037450266943605925,33838,-49676,Disp. 3
15,-458809,-7646.816666666667,-7993.0,-49676,8877.973105238865,3712.75,15.713592817409973,0.0387626096029006,33838,-49676,Disp. 3
16,-458263,-7637.716666666666,-7993.0,-49676,8873.167745152563,3712.75,15.75369343623173,0.03651533017412041,33838,-49676,Disp. 3
17,-441013,-7350.216666666666,-7993.0,-49676,9202.139207983508,3799.0,13.509083993150297,0.08845962787630438,33838,-49676,Disp. 3
18,-453214,-7553.566666666667,-7993.0,-49676,9405.793889427701,3799.0,12.248853530296671,0.07418046902478595,33838,-49676,Disp. 3
19,-452064,-7534.4,-7993.0,-49676,9402.954390031726,3333.25,12.26681887480158,0.06806440149712112,33838,-49676,Disp. 3
20,-451089,-7518.15,-7889.5,-49676,9401.605917319459,3333.25,12.275180709324871,0.06277005166632564,33838,-49676,Disp. 3
21,-455483,-7591.383333333333,-7889.5,-49676,9385.426114942227,3247.0,12.383590639953615,0.08573883637135982,33838,-49676,Disp. 3
22,-450206,-7503.433333333333,-7804.0,-49676,9368.73335028277,2924.75,12.490842431141468,0.058828974761665105,33838,-49676,Disp. 3
23,-451222,-7520.366666666667,-7889.5,-49676,9370.20019496837,3046.25,12.481528777529052,0.06436189906688813,33838,-49676,Disp. 3
24,-452096,-7534.933333333333,-7889.5,-49676,9367.632978645079,2928.5,12.499086105509786,0.06909101938992049,33838,-49676,Disp. 3
25,-459471,-7657.85,-7889.5,-49676,9302.758983545269,2667.75,12.931951388220062,0.09834507099565135,33838,-49676,Disp. 3
26,-445119,-7418.65,-7758.5,-49676,9339.32785086444,2794.5,12.684719794482106,0.03574181218922024,33838,-49676,Disp. 3
27,-450960,-7516.0,-7758.5,-49676,9403.558866510712,2794.5,12.273698394218098,0.05221431352830148,33838,-49676,Disp. 3
28,-397317,-6621.95,-7758.5,-49676,11849.573668115732,2794.5,11.662735220815449,1.6278947038512204,48341,-49676,Disp. 3
29,-447969,-7466.15,-7758.5,-63440,13919.771078413025,2794.5,9.808872310442586,0.001783969153727317,48341,-63440,Disp. 3
30,-408738,-6812.3,-7758.5,-63440,14947.583950002518,2794.5,7.729835123671947,0.26149081161237697,48341,-63440,Disp. 3
31,-407722,-6795.366666666667,-7698.5,-63440,14946.1286501217,2794.5,7.7328129571773445,0.2580777010749675,48341,-63440,Disp. 3
32,-444587,-7409.783333333334,-7758.5,-63440,15686.993390392758,2928.5,6.400358871114086,0.11660884609929147,48341,-63440,Disp. 3
33,-438484,-7308.066666666667,-7698.5,-63440,15700.896864015866,3046.25,6.363807774946217,0.09683818114898302,48341,-63440,Disp. 3
34,-444299,-7404.983333333334,-7698.5,-63440,15725.189916658297,3247.0,6.30852459470025,0.11408606969896104,48341,-63440,Disp. 3
35,-446501,-7441.683333333333,-7698.5,-63440,15730.450054970484,4036.25,6.297077995387751,0.1210515194601962,48341,-63440,Disp. 3
36,-445296,-7421.6,-7698.5,-63440,15733.342710760395,4122.5,6.289492890245684,0.1171067624443413,48341,-63440,Disp. 3
37,-450169,-7502.816666666667,-7698.5,-63440,15748.80711274012,5026.5,6.255439342933849,0.1320510724270942,48341,-63440,Disp. 3
38,-447498,-7458.3,-7698.5,-63440,15752.201792076723,5180.0,6.245795065236024,0.12326858119732899,48341,-63440,Disp. 3
39,-445248,-7420.8,-7669.0,-63440,15753.01896898776,5180.0,6.242626686764719,0.11587825375852039,48341,-63440,Disp. 3
40,-444101,-7401.683333333333,-7605.5,-63440,15752.295455531603,5180.0,6.243761208088767,0.11213476364598048,48341,-63440,Disp. 3
41,-449096,-7484.933333333333,-7669.0,-63440,15757.605615741339,5243.5,6.233853098699518,0.12820677956225765,48341,-63440,Disp. 3
42,-446503,-7441.716666666666,-7605.5,-63440,15758.00117141643,5243.5,6.231455618264169,0.11970628952469146,48341,-63440,Disp. 3
43,-431838,-7197.3,-7491.5,-63440,15852.29726099178,5592.25,6.012849226330516,0.08044769840588448,48341,-63440,Disp. 3
44,-442863,-7381.05,-7605.5,-63440,15918.02352033907,5771.25,5.871399602598498,0.10918778832300184,48341,-63440,Disp. 3
45,-437294,-7288.233333333334,-7491.5,-63440,15912.318922896022,5592.25,5.8817951805671385,0.09145145625525493,48341,-63440,Disp. 3
46,-436386,-7273.1,-7491.5,-63440,15911.575800793797,5592.25,5.883117160737598,0.08852028841745609,48341,-63440,Disp. 3
47,-438447,-7307.45,-7491.5,-63440,15906.075878258449,5335.75,5.896434455495523,0.0951379749852867,48341,-63440,Disp. 3
48,-437247,-7287.45,-7491.5,-63440,15908.196384813604,5573.5,5.8911131218175985,0.09124376281064384,48341,-63440,Disp. 3
49,-434006,-7233.433333333333,-7491.5,-63440,15896.665638403829,5510.0,5.915967250192297,0.08139933668348198,48341,-63440,Disp. 3
50,-438376,-7306.266666666666,-7577.0,-63440,15897.54226700069,5330.75,5.915705057110529,0.0955102437183066,48341,-63440,Disp. 3
51,-438517,-7308.616666666667,-7577.0,-63440,15896.047654057173,5330.75,5.9190160921185395,0.09581351699179565,48341,-63440,Disp. 3
52,-437940,-7299.0,-7577.0,-63440,15891.050193026518,5330.75,5.929829812035502,0.0945243577705525,48341,-63440,Disp. 3
53,-437682,-7294.7,-7577.0,-63440,15890.888620927146,5330.75,5.930090382521552,0.09368863862217029,48341,-63440,Disp. 3
54,-439551,-7325.85,-7591.5,-63440,15889.579307531681,5330.75,5.933896471535482,0.0997786132835418,48341,-63440,Disp. 3
55,-437135,-7285.583333333333,-7573.5,-63440,15886.983218112837,5330.75,5.938793502397676,0.09200791259400493,48341,-63440,Disp. 3
56,-432249,-7204.15,-7491.5,-63440,15881.607353465866,4523.75,5.94922698140889,0.07637880418082288,48341,-63440,Disp. 3
57,-436016,-7266.933333333333,-7573.5,-63440,15878.869184288642,4313.25,5.956895443931041,0.08860967544640123,48341,-63440,Disp. 3
58,-435479,-7257.983333333334,-7491.5,-63440,15878.780314868429,4313.25,5.9568878180935325,0.08686224847736315,48341,-63440,Disp. 3
59,-453479,-7557.983333333334,-7573.5,-63440,15715.492082861967,4146.75,6.321934404973327,0.12543697823456215,48341,-63440,Disp. 3
60,-435683,-7261.383333333333,-7491.5,-63440,15622.682602486124,3540.0,6.529709564341589,0.08059901317312149,48341,-63440,Disp. 3
61,-431370,-7189.5,-7351.0,-63440,15625.087254536034,3750.5,6.5223134870936565,0.06639443913946685,48341,-63440,Disp. 3
62,-434826,-7247.1,-7351.0,-63440,15634.912552752041,4523.75,6.499245587519763,0.07732121058385463,48341,-63440,Disp. 3
