time;TSrock;TSrasp;offset;device
292;2351474529126843;31260364876678;-2320214164250165;192.168.1.159
1001231543;2351475530358094;31261365261219;-2320214165096875;192.168.1.159
2001465881;2351476530592432;31262365484236;-2320214165108196;192.168.1.159
3001690010;2351477530816561;31263365689264;-2320214165127297;192.168.1.159
4001901598;2351478531028149;31264365904691;-2320214165123458;192.168.1.159
5002130394;2351479531256945;31265366118998;-2320214165137947;192.168.1.159
6002350148;2351480531476699;31266366332705;-2320214165143994;192.168.1.159
7002571361;2351481531697912;31267366545978;-2320214165151934;192.168.1.159
8002794032;2351482531920583;31268366760946;-2320214165159637;192.168.1.159
9003023995;2351483532150546;31269366980628;-2320214165169918;192.168.1.159
10003243166;2351484532369717;31270367194430;-2320214165175287;192.168.1.159
11003464962;2351485532591513;31271367406338;-2320214165185175;192.168.1.159
12003687633;2351486532814184;31272367625236;-2320214165188948;192.168.1.159
13003918179;2351487533044730;31273367843811;-2320214165200919;192.168.1.159
14004141142;2351488533267693;31274368061376;-2320214165206317;192.168.1.159
15004368188;2351489533494739;31275368275898;-2320214165218841;192.168.1.159
16004586484;2351490533713035;31276368488244;-2320214165224791;192.168.1.159
17004807114;2351491533933665;31277368698360;-2320214165235305;192.168.1.159
18005025118;2351492534151669;31278368906875;-2320214165244794;192.168.1.159
19005241664;2351493534368215;31279369114640;-2320214165253575;192.168.1.159
20005456460;2351494534583011;31280369326119;-2320214165256892;192.168.1.159
21005675923;2351495534802474;31281369533646;-2320214165268828;192.168.1.159
22005891594;2351496535018145;31282369741515;-2320214165276630;192.168.1.159
23006106682;2351497535233233;31283369951136;-2320214165282097;192.168.1.159
24006324395;2351498535450946;31284370169785;-2320214165281161;192.168.1.159
25006551441;2351499535677992;31285370383518;-2320214165294474;192.168.1.159
26006781404;2351500535907955;31286370602854;-2320214165305101;192.168.1.159
27007003200;2351501536129751;31287370819348;-2320214165310403;192.168.1.159
28007226454;2351502536353005;31288371029814;-2320214165323191;192.168.1.159
29007443875;2351503536570426;31289371242791;-2320214165327635;192.168.1.159
30007665380;2351504536791931;31290371455721;-2320214165336210;192.168.1.159
31007885134;2351505537011685;31291371668644;-2320214165343041;192.168.1.159
32008106347;2351506537232898;31292371881556;-2320214165351342;192.168.1.159
33008326685;2351507537453236;31293372093572;-2320214165359664;192.168.1.159
34008547897;2351508537674448;31294372306245;-2320214165368203;192.168.1.159
35008765610;2351509537892161;31295372518152;-2320214165374009;192.168.1.159
36008987406;2351510538113957;31296372731975;-2320214165381982;192.168.1.159
37009206577;2351511538333128;31297372943511;-2320214165389617;192.168.1.159
38009427498;2351512538554049;31298373156205;-2320214165397844;192.168.1.159
39009647253;2351513538773804;31299373367389;-2320214165406415;192.168.1.159
40009866716;2351514538993267;31300373580918;-2320214165412349;192.168.1.159
41010085595;2351515539212146;31301373791179;-2320214165420967;192.168.1.159
42010303891;2351516539430442;31302374000819;-2320214165429623;192.168.1.159
43010521312;2351517539647863;31303374210876;-2320214165436987;192.168.1.159
44010739608;2351518539866159;31304374418091;-2320214165448068;192.168.1.159
45010954113;2351519540080664;31305374624093;-2320214165456571;192.168.1.159
46011168326;2351520540294877;31306374834551;-2320214165460326;192.168.1.159
47011386622;2351521540513173;31307375046608;-2320214165466565;192.168.1.159
48011606668;2351522540733219;31308375254435;-2320214165478784;192.168.1.159
49011821464;2351523540948015;31309375463958;-2320214165484057;192.168.1.159
50012038885;2351524541165436;31310375684084;-2320214165481352;192.168.1.159
51012265639;2351525541392190;31311375895124;-2320214165497066;192.168.1.159
52012485685;2351526541612236;31312376107157;-2320214165505079;192.168.1.159
53012703982;2351527541830533;31313376319735;-2320214165510798;192.168.1.159
54012924611;2351528542051162;31314376530843;-2320214165520319;192.168.1.159
55013207074;2351529542333625;31315376802587;-2320214165531038;192.168.1.159
56013424203;2351530542550754;31316377015045;-2320214165535709;192.168.1.159
57013642208;2351531542768759;31317377225364;-2320214165543395;192.168.1.159
58013861379;2351532542987930;31318377454582;-2320214165533348;192.168.1.159
59014109716;2351533543236267;31319377681790;-2320214165554477;192.168.1.159
60014334137;2351534543460688;31320377897343;-2320214165563345;192.168.1.159
61014556809;2351535543683360;31321378111903;-2320214165571457;192.168.1.159
62014778896;2351536543905447;31322378329696;-2320214165575751;192.168.1.159
63015005359;2351537544131910;31323378543978;-2320214165587932;192.168.1.159
64015225114;2351538544351665;31324378756455;-2320214165595210;192.168.1.159
65015445451;2351539544572002;31325378970405;-2320214165601597;192.168.1.159
66015666081;2351540544792632;31326379184011;-2320214165608621;192.168.1.159
67015886127;2351541545012678;31327379396405;-2320214165616273;192.168.1.159
68016107923;2351542545234474;31328379609845;-2320214165624629;192.168.1.159
69016327386;2351543545453937;31329379822073;-2320214165631864;192.168.1.159
70016547432;2351544545673983;31330380075957;-2320214165598026;192.168.1.159
71016833686;2351545545960237;31331380312535;-2320214165647702;192.168.1.159
72017055191;2351546546181742;31332380535769;-2320214165645973;192.168.1.159
73017287195;2351547546413746;31333380754255;-2320214165659491;192.168.1.159
74017512491;2351548546639042;31334380973916;-2320214165665126;192.168.1.159
75017742454;2351549546869005;31335381191901;-2320214165677104;192.168.1.159
76017966000;2351550547092551;31336381426747;-2320214165665804;192.168.1.159
77018210254;2351551547336805;31337381648286;-2320214165688519;192.168.1.159
78018436717;2351552547563268;31338381866410;-2320214165696858;192.168.1.159
79018657638;2351553547784189;31339382079525;-2320214165704664;192.168.1.159
80018880601;2351554548007152;31340382294777;-2320214165712375;192.168.1.159
81019101522;2351555548228073;31341382509039;-2320214165719034;192.168.1.159
82019324776;2351556548451327;31342382723475;-2320214165727852;192.168.1.159
83019543656;2351557548670207;31343382936014;-2320214165734193;192.168.1.159
84019765160;2351558548891711;31344383151079;-2320214165740632;192.168.1.159
85019986956;2351559549113507;31345383373914;-2320214165739593;192.168.1.159
86020228877;2351560549355428;31346383599367;-2320214165756061;192.168.1.159
87020448924;2351561549575475;31347383867755;-2320214165707720;192.168.1.159
88020756761;2351562549883312;31348384112152;-2320214165771160;192.168.1.159
89020981473;2351563550108024;31349384371651;-2320214165736373;192.168.1.159
90021270353;2351564550396904;31350384652972;-2320214165743932;192.168.1.159
91021555732;2351565550682283;31351384894655;-2320214165787628;192.168.1.159
92021784528;2351566550911079;31352385121253;-2320214165789826;192.168.1.159
93022020032;2351567551146583;31353385342620;-2320214165803963;192.168.1.159
94022246204;2351568551372755;31354385558051;-2320214165814704;192.168.1.159
95022465375;2351569551591926;31355385772621;-2320214165819305;192.168.1.159
96022690671;2351570551817222;31356385985071;-2320214165832151;192.168.1.159
97022908092;2351571552034643;31357386197528;-2320214165837115;192.168.1.159
98023129888;2351572552256439;31358386413347;-2320214165843092;192.168.1.159
99023349934;2351573552476485;31359386625969;-2320214165850516;192.168.1.159
100023571438;2351574552697989;31360386836544;-2320214165861445;192.168.1.159
101023787401;2351575552913952;31361387046482;-2320214165867470;192.168.1.159
102024006281;2351576553132832;31362387271371;-2320214165861461;192.168.1.159
103024236827;2351577553363378;31363387483528;-2320214165879850;192.168.1.159
104024455414;2351578553581965;31364387696603;-2320214165885362;192.168.1.159
105024675461;2351579553802012;31365387909055;-2320214165892957;192.168.1.159
106024896090;2351580554022641;31366388123868;-2320214165898773;192.168.1.159
107025121969;2351581554248520;31367388344708;-2320214165903812;192.168.1.159
108025413182;2351582554539733;31368388626943;-2320214165912790;192.168.1.159
109025638478;2351583554765029;31369388842596;-2320214165922433;192.168.1.159
110025859982;2351584554986533;31370389066664;-2320214165919869;192.168.1.159
111026094029;2351585555220580;31371389285574;-2320214165935006;192.168.1.159
112026316408;2351586555442959;31372389500198;-2320214165942761;192.168.1.159
113026538496;2351587555665047;31373389714698;-2320214165950349;192.168.1.159
114026758834;2351588555885385;31374389927931;-2320214165957454;192.168.1.159
