time;TSrock;TSrasp;offset;device
583;93338184486597;78718231671928;-14619952814669;192.168.1.154
1001446855;93339185932869;78719232223500;-14619953709369;192.168.1.154
2001795005;93340186281019;78720232562983;-14619953718036;192.168.1.154
3002139946;93341186625960;78721232911946;-14619953714014;192.168.1.154
4002486637;93342186972651;78722233254168;-14619953718483;192.168.1.154
5002831287;93343187317301;78723233600816;-14619953716485;192.168.1.154
6003202187;93344187688201;78724233975260;-14619953712941;192.168.1.154
7003555878;93345188041892;78725234326223;-14619953715669;192.168.1.154
8003901111;93346188387125;78726234671963;-14619953715162;192.168.1.154
9004246052;93347188732066;78727235015389;-14619953716677;192.168.1.154
10004590119;93348189076133;78728235359221;-14619953716912;192.168.1.154
11004933602;93349189419616;78729235700017;-14619953719599;192.168.1.154
12005273585;93350189759599;78730236043109;-14619953716490;192.168.1.154
13005616193;93351190102207;78731236394534;-14619953707673;192.168.1.154
14005970759;93352190456773;78732236744144;-14619953712629;192.168.1.154
15006320367;93353190806381;78733237095938;-14619953710443;192.168.1.154
16006672308;93354191158322;78734237447714;-14619953710608;192.168.1.154
17007022500;93355191508514;78735237799287;-14619953709227;192.168.1.154
18007372983;93356191858997;78736238144248;-14619953714749;192.168.1.154
19007723758;93357192209772;78737238494116;-14619953715656;192.168.1.154
20008068699;93358192554713;78738238842799;-14619953711914;192.168.1.154
21008416557;93359192902571;78739239193277;-14619953709294;192.168.1.154
22008766457;93360193252471;78740239540719;-14619953711752;192.168.1.154
23009114023;93361193600037;78741239888512;-14619953711525;192.168.1.154
24009461881;93362193947895;78742240236268;-14619953711627;192.168.1.154
25009808864;93363194294878;78743240584580;-14619953710298;192.168.1.154
26010157014;93364194643028;78744240931818;-14619953711210;192.168.1.154
27010504580;93365194990594;78745241279572;-14619953711022;192.168.1.154
28010852438;93366195338452;78746241624180;-14619953714272;192.168.1.154
29011194463;93367195680477;78747241966122;-14619953714355;192.168.1.154
30011539696;93368196025710;78748242313932;-14619953711778;192.168.1.154
31011889887;93369196375901;78749242674207;-14619953701694;192.168.1.154
32012247953;93370196733967;78750243022998;-14619953710969;192.168.1.154
33012594061;93371197080075;78751243369845;-14619953710230;192.168.1.154
34012944544;93372197430558;78752243722674;-14619953707884;192.168.1.154
35013295319;93373197781333;78753244072077;-14619953709256;192.168.1.154
36013644927;93374198130941;78754244436979;-14619953693962;192.168.1.154
37014044410;93375198530424;78755244822215;-14619953708209;192.168.1.154
